,English Paragraph,Chinese Paragraph
218,Numerical Example of How Shares are Allotted ,"投資者應留意認購章程第 II 部分「如何購買股份」和「如何贖
回股份」分節載列的認購和贖回程序，尤其是於交易日接受認
購股份指示或贖回股份要求的截止時間。認購股份指示和贖回
要求須送至管理公司的過戶代理部，相關詳情載列於認購章程
目錄章節，另外，也可直接向融通代理的上述辦事處下達贖回
要求，收件人：Managing Director of AllianceBernstein Global "
219,"Based on an investment amount of US$10,000 at the notional net asset value of US$10.00 per Share, the number of Shares 
allotted will be calculated as follows: ","AllianceBernstein (Singapore) Ltd.的主要辦事處位於One Raffles Quay, #27-11 South Tower, Singapore 
048583，於1997年5月17日在新加坡成立，受新加坡金融管理局（Monetary Authority  of  Singapore）監
管並根據《 證券及 期貨法 》（Securities  and  Futures  Act）獲發資本 市場服務 牌照（Capital  Markets 
Service Licence），以從事資本市場產品買賣及基金管理受監管活動。  "
220,- 15 - ,"-  目標基金本身並無投資於基金； 
-  擬購入的目標基金可將不多於 10%的資產投資於其他基"
221,"Assume: 
Initial sales charge = 4% 
No adjustment to purchase price to be made ","首次銷售費 = 4% 
毋須對購買價作出調整 "
222,Purchase price = ,"首次銷售費 = 4% 
毋須對購買價作出調整 "
223,net asset value – adjustment∗ ,"欲進一步了解股份類別對沖詳情，請參閱第 II 部分「如何購買股份 
–  貨幣對沖股份類別」。 "
224,100% − initial sales charge%,100% − 1%
225,Purchase price = ,"首次銷售費 = 4% 
毋須對購買價作出調整 "
226, = , = 
227,Shares allotted = ,"首次銷售費 = 4% 
毋須對購買價作出調整 "
228,                        =, = 
229,US$10.00 − 0,− 0
230,100% − 4%,100% − 1%
231,0.96,0.96
232,�,�
233,  = 959.693 , = 959.693 
234,�,�
235,"US$10,000
US$10.00
0.96",0.96
236,"Assume: 
Initial sales charge = 1% 
No adjustment to purchase price to be made ","首次銷售費 = 1% 
毋須對購買價作出調整 "
237,Purchase price = ,"首次銷售費 = 4% 
毋須對購買價作出調整 "
238,"2
net asset value – adjustment∗","欲進一步了解股份類別對沖詳情，請參閱第 II 部分「如何交換
或轉換股份  –  貨幣對沖股份類別」。 "
239,100% − initial sales charge%,100% − 1%
240,Purchase price = ,"首次銷售費 = 4% 
毋須對購買價作出調整 "
241, = , = 
242,Shares allotted = ,"首次銷售費 = 4% 
毋須對購買價作出調整 "
243,                        =, = 
244,US$10.00 − 0,− 0
245,100% − 1%,100% − 1%
246,0.99,0.99
247,�,�
248,  = 990.099 ,"�
美元
 = 990.099 "
249,�,�
250,The above examples are for illustrative purposes only and are not a forecast or indication of any expectation of performance. ,"AllianceBernstein (Singapore) Ltd.的主要辦事處位於One Raffles Quay, #27-11 South Tower, Singapore 
048583，於1997年5月17日在新加坡成立，受新加坡金融管理局（Monetary Authority  of  Singapore）監
管並根據《 證券及 期貨法 》（Securities  and  Futures  Act）獲發資本 市場服務 牌照（Capital  Markets 
Service Licence），以從事資本市場產品買賣及基金管理受監管活動。  "
251,"US$10,000
US$10.00
0.99",0.99
252,Payment for Purchase of Shares ,"投資者應留意認購章程第 II 部分「如何購買股份」和「如何贖
回股份」分節載列的認購和贖回程序，尤其是於交易日接受認
購股份指示或贖回股份要求的截止時間。認購股份指示和贖回
要求須送至管理公司的過戶代理部，相關詳情載列於認購章程
目錄章節，另外，也可直接向融通代理的上述辦事處下達贖回
要求，收件人：Managing Director of AllianceBernstein Global "
253,"Payment may be made in currency in which the  Shares are offered as indicated in the Prospectus and can be made by 
telegraphic transfer (or bank wire).  ","AllianceBernstein (Singapore) Ltd.的主要辦事處位於One Raffles Quay, #27-11 South Tower, Singapore 
048583，於1997年5月17日在新加坡成立，受新加坡金融管理局（Monetary Authority  of  Singapore）監
管並根據《 證券及 期貨法 》（Securities  and  Futures  Act）獲發資本 市場服務 牌照（Capital  Markets 
Service Licence），以從事資本市場產品買賣及基金管理受監管活動。  "
254,"If  an  investor  makes  payment  by  telegraphic  transfer,  a  copy  of  the  remittance  instruction  should  be  enclosed  with  the 
investor’s application. No responsibility will be accepted by the Fund for reconciling investors remittances where problems 
occur in the transmission or as a result of inadequate details of the transfer. Payment should be made in full, taking into 
account any wire transfer fees or other bank charges. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
255,"Payment information for an initial purchase of Shares should reference the confirmation number, investor’s name, the name 
of the Portfolio of the Fund and individual class of Shares for which the investor is subscribing (for example, “AB FCP I —
Dynamic Diversified  Portfolio, Class A”).  In addition, payment  information in respect of subsequent purchases of Shares 
should reference the AB funds account number issued to the investor upon the investor’s initial purchase of Shares. For ease 
of identification, the wire should include as much information as possible. ","AB  FCP  I 乃根據盧森堡大公國法例組建及根據《二零一零年法
律》第 I 部分登記的互惠投資基金，作為其證券的非法團合資經
營 。本 傘 子 基 金 已 於 盧 森 堡 商 業 公 司 註 冊 處( Registre  de 
Commerce et des Sociétés of Luxembourg)登記，登記號碼為 K 
217。根據 UCITS 指令第 1(2)條的定義，本傘子基金取得 UCITS
的資格。管理公司根據本傘子基金的管理條例（不時修訂）並為
股東的利益而管理本傘子基金。請見「附加資料－管理條例」。
本傘子基金的資產（包括各基金的資產）與管理公司的資產分開。
本文所述由本傘子基金或基金實施的一切行動，均由管理公司或
其代理人代表本傘子基金或有關基金實施。 "
256,* ,"* 
** "
257,"If any, as determined in accordance with Section II of the Prospectus.","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
258,- 16 - ,"-  目標基金本身並無投資於基金； 
-  擬購入的目標基金可將不多於 10%的資產投資於其他基"
259," 
 
 
 
 
 
  
 
 
 
  
                                                                        
 
 
No money should be paid by investors to any intermediary in Hong Kong who is not licensed or registered to carry 
out Type 1 regulated activity under Part V of the SFO. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
260,Confirmation of Purchase of Shares ,"投資者應留意認購章程第 II 部分「如何購買股份」和「如何贖
回股份」分節載列的認購和贖回程序，尤其是於交易日接受認
購股份指示或贖回股份要求的截止時間。認購股份指示和贖回
要求須送至管理公司的過戶代理部，相關詳情載列於認購章程
目錄章節，另外，也可直接向融通代理的上述辦事處下達贖回
要求，收件人：Managing Director of AllianceBernstein Global "
261,"The Fund will send to the investor a confirmation note generally within five Trade Dates following the issuance of the Shares, 
providing full details of the transactions. Investors transacting orders through an authorized dealer should inquire with their 
dealer regarding such dealer's timing for providing confirmation of purchase.   ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
262,"Fractions of a Share (rounded to 3 decimal places (e.g. 10.1225 Shares shall be rounded up to 10.123 Shares and 10.1224 
Shares shall be rounded down to 10.122 Shares)) may be issued. Any amount corresponding to such rounding will accrue to 
the relevant Portfolio. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
263,Redemption of Shares ,"投資者應留意認購章程第 II 部分「如何購買股份」和「如何贖
回股份」分節載列的認購和贖回程序，尤其是於交易日接受認
購股份指示或贖回股份要求的截止時間。認購股份指示和贖回
要求須送至管理公司的過戶代理部，相關詳情載列於認購章程
目錄章節，另外，也可直接向融通代理的上述辦事處下達贖回
要求，收件人：Managing Director of AllianceBernstein Global "
264,"Shareholders  may  redeem  their Shares  by  sending  redemption  orders  to  an  authorized  dealer.   Such  dealer  will  forward 
redemption orders received before the daily time deadline set by the dealer for order processing on any Hong Kong Business 
Day to the Transfer Agent for review.  The Transfer Agent will review such redemption orders and, upon acceptance, process 
them on the same date, provided such date is a Trade Date; if such date is not a Trade Date, accepted redemption orders will 
be processed on the next following Trade Date.  At the discretion of the authorized dealer, redemption orders received by the 
dealer after the daily time deadline set by the dealer for order processing may be forwarded to the Transfer Agent on the next 
Hong Kong Business Day.  Investors should inquire with their dealer regarding such dealer's deadlines for order processing.  
Redemption orders must identify the name of the relevant Portfolio of the Fund, the class of Shares and number of Shares to 
be redeemed or the total value of Shares (in the Offered Currency in which the Shareholder purchased the Shares) to be 
redeemed, together with the  Shareholder's name and AB funds  account number (for that Offered Currency).  Incomplete 
redemption orders cannot be processed and will be rejected.   ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
265,"The redemption price will be equal to the Net Asset Value per Share in the relevant Offered Currency of the relevant share 
class determined for the appropriate Trade Date as of the Valuation Point, which is 4:00 p.m. U.S. Eastern time or otherwise 
as defined in the relevant part of Section I of the Prospectus on such Trade Date. The redemption price shall be rounded to 2 
decimal places (e.g. HK$10.125 shall be rounded up to HK$10.13 and HK$10.124 shall be rounded down to HK$10.12). Any 
amount corresponding to such rounding will accrue to the relevant Portfolio.  ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
266,"Payments of redemption proceeds will be made in the Offered  Currency in which the  Shareholder’s AB funds account is 
denominated.  Under normal circumstances it is expected that proceeds of redemptions will be paid by the Depositary or its 
agents not later than five Trade Dates after the relevant redemption date. Notwithstanding the foregoing, if in exceptional 
circumstances the liquidity of the Fund is not sufficient to enable payment or redemption to be made within this period, such 
payment will be made as soon as reasonably practicable and in any event no later than one calendar month after receipt of 
properly documented redemption orders. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
267,Exchange of Shares ,"投資者應留意認購章程第 II 部分「如何購買股份」和「如何贖
回股份」分節載列的認購和贖回程序，尤其是於交易日接受認
購股份指示或贖回股份要求的截止時間。認購股份指示和贖回
要求須送至管理公司的過戶代理部，相關詳情載列於認購章程
目錄章節，另外，也可直接向融通代理的上述辦事處下達贖回
要求，收件人：Managing Director of AllianceBernstein Global "
268,"Shareholders have the option to exchange Shares for Shares of the same class of any other Portfolio of the Fund or Shares 
of the same class of certain other AB funds authorized by the SFC from time to time. Shareholders should check the relevant 
Portfolio’s  or  fund’s  authorized  status  prior  to  exchange.  Any  such  exchange  will  be  subject  to  the  minimum  investment 
requirements and any other applicable terms set out in the Prospectus relating to the shares of the Portfolio of the Fund or 
other AB fund to be acquired upon exchange.  The Management Company reserves the right, in its discretion, to waive any 
applicable minimum investment amounts. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
269,"Following receipt by the Management Company from an authorized dealer and acceptance by the Fund of valid and complete 
exchange orders, exchanges will be effected, in each case, at the Net Asset Value as next determined in accordance with the 
terms set out in the Prospectus.  Exchanges involving other AB funds will be effected by means of a redemption of the original 
shares and a subscription for and purchase of the shares to be acquired upon exchange. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
270,"In respect of any exchange instruction involving a class of Shares possessing a contingent deferred sales charge, the holding 
period for purposes of calculating any contingent deferred sales charge due upon redemption, if applicable, relating to Shares ","AB  FCP  I 乃根據盧森堡大公國法例組建及根據《二零一零年法
律》第 I 部分登記的互惠投資基金，作為其證券的非法團合資經
營 。本 傘 子 基 金 已 於 盧 森 堡 商 業 公 司 註 冊 處( Registre  de 
Commerce et des Sociétés of Luxembourg)登記，登記號碼為 K 
217。根據 UCITS 指令第 1(2)條的定義，本傘子基金取得 UCITS
的資格。管理公司根據本傘子基金的管理條例（不時修訂）並為
股東的利益而管理本傘子基金。請見「附加資料－管理條例」。
本傘子基金的資產（包括各基金的資產）與管理公司的資產分開。
本文所述由本傘子基金或基金實施的一切行動，均由管理公司或
其代理人代表本傘子基金或有關基金實施。 "
271,- 17 - ,"-  目標基金本身並無投資於基金； 
-  擬購入的目標基金可將不多於 10%的資產投資於其他基"
272," 
 
 
 
acquired in an exchange, will be based on the date of purchase of the original Shares; furthermore, the amount of any such 
contingent deferred sales charge will be based upon the rates relating to the original Shares.  Such restrictions may be waived 
under certain circumstances in the sole discretion of the Management Company, on behalf of the Fund. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
273,"Investors interested in exchanging Shares should contact their financial adviser or the Hong Kong Representative for more 
information about the exchange option. Neither the Fund nor the Management Company currently charges any administrative 
or other fees in connection with exchanges. However, shareholders who hold their shares through accounts with a dealer 
should contact their dealer to determine if it charges any fees in connection with exchanges. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
274,Fees and Expenses ,"AllianceBernstein (Singapore) Ltd.的主要辦事處位於One Raffles Quay, #27-11 South Tower, Singapore 
048583，於1997年5月17日在新加坡成立，受新加坡金融管理局（Monetary Authority  of  Singapore）監
管並根據《 證券及 期貨法 》（Securities  and  Futures  Act）獲發資本 市場服務 牌照（Capital  Markets 
Service Licence），以從事資本市場產品買賣及基金管理受監管活動。  "
275,"The Fund is subject to the payment of fees and expenses as set forth in the Prospectus under “Summary Information—Share 
Class Fees and Charges” and “Other Portfolio Information—Management Company, Administrator, Depositary and Transfer 
Agent Fees” in the portion of Section I relating to each Portfolio and under “Additional Information—Fees and Expenses” in 
Section II.   ","AB  FCP  I 乃根據盧森堡大公國法例組建及根據《二零一零年法
律》第 I 部分登記的互惠投資基金，作為其證券的非法團合資經
營 。本 傘 子 基 金 已 於 盧 森 堡 商 業 公 司 註 冊 處( Registre  de 
Commerce et des Sociétés of Luxembourg)登記，登記號碼為 K 
217。根據 UCITS 指令第 1(2)條的定義，本傘子基金取得 UCITS
的資格。管理公司根據本傘子基金的管理條例（不時修訂）並為
股東的利益而管理本傘子基金。請見「附加資料－管理條例」。
本傘子基金的資產（包括各基金的資產）與管理公司的資產分開。
本文所述由本傘子基金或基金實施的一切行動，均由管理公司或
其代理人代表本傘子基金或有關基金實施。 "
276,Please refer to the Prospectus for a description of fees and expenses borne by the Portfolios. ,"Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
277,"In addition, an initial sales charge or contingent deferred sales charge may be assessed. Please contact your financial adviser 
or the Hong Kong Representative for more information. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
278,"For so long as the Fund maintains its authorization with the SFC under the SFO, the Fund will be a specified investment 
scheme under section 26A(1A) of the Inland Revenue Ordinance of Hong Kong (Cap.112). Any sums received or accrued to 
a specified investment scheme (whether they are sourced from Hong Kong or not) will not be subject to Hong Kong profits 
tax. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
279,"Shareholders resident in Hong Kong will not be subject to any Hong Kong tax on distributions from any of the Portfolios or on 
capital gains realized on the redemption of any Shares in the Fund unless the acquisition and realization of Shares in the Fund 
is or forms part of a trade, profession or business carried on in Hong Kong and such gains arise in or are derived from Hong 
Kong. Shares will not attract Hong Kong estate duty and Hong Kong stamp duty will not be payable on the issue, redemption 
or transfer of Shares. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
280,"The above information is based on the enacted laws and current practice of Hong Kong. It is not comprehensive and is subject 
to change. Prospective investors should consult their own professional advisers as to the implications of buying, holding or 
disposing of Shares and to the provision of the laws of the jurisdiction in which they are subject to tax. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
281,FATCA and Identity of Beneficial Ownership and Withholding on Certain Payments ,"投資者應留意認購章程第 II 部分「如何購買股份」和「如何贖
回股份」分節載列的認購和贖回程序，尤其是於交易日接受認
購股份指示或贖回股份要求的截止時間。認購股份指示和贖回
要求須送至管理公司的過戶代理部，相關詳情載列於認購章程
目錄章節，另外，也可直接向融通代理的上述辦事處下達贖回
要求，收件人：Managing Director of AllianceBernstein Global "
282,"The Foreign Account Tax Compliance Act (“FATCA”), a portion of the Hiring Incentives to Restore Employment Act, became 
law in the United States in 2010. In order to avoid a U.S. withholding tax of 30% on certain payments (including payments of 
gross proceeds) made with respect to certain actual and deemed U.S. investments, the Fund generally will be required to 
timely register with the United States Internal Revenue Service (the “Service”) and agree to identify certain direct and indirect 
U.S. account holders (including debtholders and equityholders).  If the Fund failed to comply with such requirements, the Fund 
may be subject to the above 30% withholding tax. Generally, withholding tax reduces the net asset value of the Fund by the 
amount of the withholding imposed and may result in a material loss to investors and inhibit the Fund’s ability to pursue its 
investment strategy.  ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
283,"Luxembourg has signed a Model 1A (reciprocal) inter-governmental agreement with the United States (the “US IGA”) to give 
effect  to  the  foregoing  withholding  and  reporting  rules.  So  long  as  the  Fund  complies  with  the  US  IGA  and  the  enabling 
legislation, the Investment Manager anticipates that the Fund will not be subject to the related U.S. withholding tax. The Fund 
is a Sponsored Foreign Financial Institution and the Management Company has obtained a global intermediary identification 
number as sponsor on behalf of the Fund. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
284,"A non-U.S. investor in the Fund will generally be required to provide to the Fund (or in certain cases, a distributor, intermediary 
or certain other entities through which a non-U.S. investor invests (each, an “Intermediary”)) information which identifies its ","美元計價股份類別 
A 及 A2 類股份 
AT 類股份 
AA 類股份 
AI 類股份 
BT 類股份 
C 及 C2 類股份 
CT 類股份 
EA 類股份 
EI 類股份 
I 及 I2 類股份 
N2 及 NT 類股份 
S 類股份 
S1 2 類股份 
SA 類股份 
ZT 類股份 "
285,- 18 - ,"-  目標基金本身並無投資於基金； 
-  擬購入的目標基金可將不多於 10%的資產投資於其他基"
286," 
 
 
 
direct and indirect U.S. ownership.  Under the US IGA, any such information provided to the Fund will be shared with the 
Luxembourg Minister of Finance or its delegate (the “Luxembourg MOF”), unless such U.S. ownership is exempt from the 
reporting rules. The Luxembourg MOF will provide the information reported to it with the Service annually on an automatic 
basis.   A non-U.S. investor that is a “foreign financial institution” within the meaning of Section 1471(d)(4) of the U.S. Internal 
Revenue Code of 1986, as amended, will generally be required to register with the Service and agree to identify certain of its 
own  direct  and  indirect  U.S.  account  holders  (including  debtholders  and  equityholders).   A  non-U.S.  investor  who  fails  to 
provide such information to the Fund (or, if applicable, an Intermediary) or register and agree to identify or report information 
with respect to such account holders (as applicable), may be subject to the 30% withholding tax with respect to its share of 
any such payments attributable to actual and deemed U.S. investments of the Fund, and the Management Company may 
take  any  action  permitted  in  relation  to  an  investor’s  Shares  or  redemption  proceeds  to  ensure  that  such  withholding  is 
economically  borne  by  the  relevant  investor  whose  failure  to  provide  the  necessary  information  or  comply  with  such 
requirements  gave  rise  to  the  withholding,  subject  to  applicable  laws  and  regulations  and  provided  that  the  Management 
Company acts in good faith and on reasonable grounds. Shareholders should consult their own tax advisors regarding the 
possible implications of these rules on their investments in the Fund. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
287,"The solicitors to the Fund in Hong Kong are Deacons, 5th Floor, Alexandra House, 18 Chater Road, Hong Kong. ","AllianceBernstein  (Japan)  Ltd.的主要辦事處位於Hibiya  Park  Front  Building  14F,  2-1-6  Uchisaiwaicho, 
Chiyoda-ku,  14th  Floor,  Tokyo  100-0011,  Japan，為於1996年10月28日在日本成立的公司，並於金融廳 
（Financial  Services Agency）註冊為一間金融工具業務運營商，以提供(i)第一類金融工具業務；(ii)第二
類金融工具業務；(iii)投資顧問及代理業務；(iv)投資管理業務；及(v)證券–相關業務。 "
288,"Neither the Investment Manager nor any of its connected persons have retained or are entitled to retain any cash rebates from 
any broker or dealer in consideration of directing transactions on behalf of the Portfolio to that broker or dealer. Any such cash 
rebates received shall be held for the account of the relevant Portfolio. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
289,Advertising and Promotional Expenses ,"AllianceBernstein (Singapore) Ltd.的主要辦事處位於One Raffles Quay, #27-11 South Tower, Singapore 
048583，於1997年5月17日在新加坡成立，受新加坡金融管理局（Monetary Authority  of  Singapore）監
管並根據《 證券及 期貨法 》（Securities  and  Futures  Act）獲發資本 市場服務 牌照（Capital  Markets 
Service Licence），以從事資本市場產品買賣及基金管理受監管活動。  "
290,"For so long as the Fund is authorized in Hong Kong under Section 104 of the SFO, advertising and promotional expenses will 
not be paid out of the Fund’s assets. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
291,"The SFC may require up to three months’ notice of any increase in the Management Fee of each Share class of the Portfolios 
from the current level as stated in the Prospectus and this Hong Kong Supplement to be provided to Hong Kong investors.  ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
292,Report and Accounts ,"AllianceBernstein (Singapore) Ltd.的主要辦事處位於One Raffles Quay, #27-11 South Tower, Singapore 
048583，於1997年5月17日在新加坡成立，受新加坡金融管理局（Monetary Authority  of  Singapore）監
管並根據《 證券及 期貨法 》（Securities  and  Futures  Act）獲發資本 市場服務 牌照（Capital  Markets 
Service Licence），以從事資本市場產品買賣及基金管理受監管活動。  "
293,"The financial year of the Fund and each of the Portfolios ends on 31 August each year. The Fund’s annual report incorporating 
audited financial statements will be published within four months after the end of the financial year. The Fund will publish a 
semi-annual unaudited financial report within two months of the end of the semi-annual period. Such reports will be available 
at www.alliancebernstein.com.hk. In addition, printed copies of the annual and semi-annual reports will be made available at 
the principal office of the Hong Kong Representative, free of charge. Hong Kong investors will be notified when the financial 
reports are available. The audited annual report and unaudited semi-annual reports of the Fund will be issued in English only. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
294,Liquidation and Amalgamation ,"AllianceBernstein (Singapore) Ltd.的主要辦事處位於One Raffles Quay, #27-11 South Tower, Singapore 
048583，於1997年5月17日在新加坡成立，受新加坡金融管理局（Monetary Authority  of  Singapore）監
管並根據《 證券及 期貨法 》（Securities  and  Futures  Act）獲發資本 市場服務 牌照（Capital  Markets 
Service Licence），以從事資本市場產品買賣及基金管理受監管活動。  "
295,"In the event of liquidation and/or amalgamation of any of the Portfolios, prior approval from the SFC would be sought and 
normally, one month’s prior notice would be given to Hong Kong investors. Upon liquidation of a Portfolio, liquidation proceeds 
will be paid to the Shareholders in the manner as specified under the paragraph headed “Duration of the Fund, Liquidation, 
Amalgamation” in the section “Additional Information” of the Prospectus. Liquidation proceeds which cannot be distributed to 
the persons entitled thereto at the close of liquidation will be deposited with the Caisse de Consignation in Luxembourg. Such 
deposit should in principle be made at the latest nine months following the liquidation process. Claims by Shareholders on the 
proceeds of liquidation to which they are entitled shall lapse only thirty years after these shall have been deposited at the 
Caisse de Consignation in Luxembourg. ","本傘子基金的期限、清盤及合併 
本傘子基金及各項基金成立時並無經營期限。股東、其繼承
人及任何其他受益人不得要求本傘子基金或基金解散或進行
分割。管理公司可隨時要求解散基金。任何解散通知將在
Mémorial 及至少兩家有一定流通量的報章上刊載，其中至少
一家必須為盧森堡報章，由管理公司與存管人共同決定。在
管理公司作出上述決定之日後，相關基金不得發行股份。當
最後一項基金解散時，本傘子基金即告解散。倘最後一項基
金進行清盤，管理公司將本著股東最大利益實現該基金的資
產價值。存管人將在扣除清盤費用與開支後，根據該基金各
類別股份享有的權利按比例向該基金每一類別股東分配清盤
淨收益。上述一切措施均按管理公司指示辦理。清盤結束時
無法派付予有有關享有權的人士的清盤收益將存入盧森堡的
信託機構 Caisse  de  Consignation，直至超過有關清盤的規
定時效。 "
296,- 19 - ,"-  目標基金本身並無投資於基金； 
-  擬購入的目標基金可將不多於 10%的資產投資於其他基"
297,"Investors are encouraged to direct all complaints and/or enquiries in the first instance to their financial advisors.  The Hong 
Kong  Representative  has  established  procedures  for  complaints  and  may  be  contacted  on  +852  2918  7878.   A  written 
response with respect to a complaint or enquiry will be provided to the financial advisor within 30 calendar days of the Hong 
Kong Representative being notified.  ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
298,Availability of Documents ,"投資者應留意認購章程第 II 部分「如何購買股份」和「如何贖
回股份」分節載列的認購和贖回程序，尤其是於交易日接受認
購股份指示或贖回股份要求的截止時間。認購股份指示和贖回
要求須送至管理公司的過戶代理部，相關詳情載列於認購章程
目錄章節，另外，也可直接向融通代理的上述辦事處下達贖回
要求，收件人：Managing Director of AllianceBernstein Global "
299,"For  as  long  as  the  Fund  maintains  its  authorization  with  the  SFC  under  Section  104  of  the  SFO,  copies  of  the  following 
documents in relation to the Fund and the Portfolios may be inspected free of charge during usual business hours at the 
principal office of the Hong Kong Representative (whose address is given above) and copies obtained at a reasonable charge 
(except for annual and semi-annual reports and audited accounts of the Fund where copies can be obtained free of charge):- ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
300,(a) ,(a)  管理公司組織章程； 
301,(b) ,(b)  投資管理協議； 
302,(c) ,(c)  存管人協議；  
303,(d) ,(d)  本傘子基金管理規例；  
304,(e) ,(e)  行政管理協議；  
305,(f) ,(f)  分銷協議；  
306,(g) ,(g)  管理公司與過戶代理之間就每一基金簽訂的過戶代理協議；  
307,(h) ,(h)  本傘子基金最近發表的年報和半年度報告以及經審計賬目；  
308,(i) ,(i)  香港代表的委任協議；  
309,(j) ,(j)  場外及其他衍生工具按相關證券的主要經紀交易人的報價
310,(k) ,(k)  有關使用金融衍生工具的 UCITS 風險管理聲明；及  
311,(l) ,(l)  本傘子基金認可交易商名單。 
312,the Articles of Association of the Management Company; ,"Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
313,the Investment Management Agreement; ,"Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
314,the Depositary Agreement; ,"Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
